,ProductUrl,productTitle,productPrice,averageRating,reviewTitle,reviewDescription,reviewAuthor,reviewAt,reviewLikes,reviewDislikes,certifiedBuyer,reviewerLocation,scrapedAt,uniqId
0,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Excellent,Very good product,palakollu  komali,6 months ago,0,1,True, Tenali,20/02/2022 02:03:42,4e9df8d3-736c-5dae-b867-b92b7f09fc84
1,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Really Nice,Nice and super picture quality.and sound also very good.but only one disappointed viewing angal not so good.,Yogesh  Virkar,3 months ago,0,0,True, Mumbai,20/02/2022 02:03:42,7ba04258-9f05-5642-ba33-8982db1f6c5e
2,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Super!,This is excellent picture qualityUltimate soundGood software qualityEverything is classic,Sudhir Kumar Chaudhary,3 months ago,0,0,True, Haridwar,20/02/2022 02:03:42,bfb20e97-eacf-5b76-a5eb-91999d6bd7a3
3,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Just wow!,Nice,Flipkart Customer,3 months ago,0,0,True, Allahabad,20/02/2022 02:03:42,b659523f-96e2-50da-a1c0-13a65f410b6a
5,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Highly recommended,"Don't go with the negative reviews. Just go for it at the given price. Superb performance superb clarity and sound. Awesome connectivity.  Nothing is lacking in this model. I bought 55' model.  I think flipkart is a best plateform to buy electronic devices.  Thanks specially the seller, demo and installation team as the six movement wall mount provided is of very good quality, courier service and  above all,Flipkart for providing me the product at my door step.",Ashok Mandial,3 months ago,0,0,True, Hamirpur District,20/02/2022 02:03:42,4876ae1b-4c7a-52a0-b5e0-dcf88efd1289
6,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Great product,Great TV for good price.Thank you LG for a wonderful experience,Jyoti Pattnaik,3 months ago,0,0,True, Khordha,20/02/2022 02:03:42,38f16c50-171e-5aec-8754-852b45a8265e
8,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Worth the money,Overall ok,Rakesh Kumar  Sabut,3 months ago,0,0,True, Bangalore,20/02/2022 02:03:42,0d182e3c-4da9-5dd4-9c5c-5a6aa362a46f
9,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Good quality product,Picture quality is ok,VEDAVYASA PARAMAHAMSA,20 days ago,1,0,True, Prakasam,20/02/2022 02:03:42,b05af784-3c24-504e-8afe-42ec5097ec83
12,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Excellent,excellent quality and sound feel like theatre,Flipkart Customer,26 days ago,1,0,True, Guntur,20/02/2022 02:03:42,bbf4edf4-3f51-5b6b-931d-f8c711785e96
14,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Nice,"Very nice product. But comes without magic remote. I am still in a dilemma that i will get magic remote to purchase separately or not. Local LG service centre doesn't have stock, even said this model is not compatible with magic remote. Flipkart customer care doesn't know about it. LG customer care is confirming that magic remote will work. So am still confused. Otherwise product is amazing.",Siddharth Agarwal,5 months ago,5,6,True, Guwahati,20/02/2022 02:03:42,4ad38a9e-f580-57ed-8617-b959cf7939d1
15,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Decent product,"Value for money, good picture &sound quality  👌, but installation poparlly not done,I tried flipcart  customer care &lg custer care not supported for me,iam not satisfied installation &demo.",varikuti apparao,3 months ago,0,1,True, Chennai,20/02/2022 02:03:42,8edfa7da-aaf4-560d-9a8a-d63dc3ac4dce
16,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Perfect product!,Excellent picture and sound quality,Kesava  Customer,28 days ago,1,0,True, Bengaluru,20/02/2022 02:03:42,74ccbcfe-8e63-5006-b1ef-49a08722f73a
17,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Classy product,Picture and sound quality is excellent.,Subhankar Das,5 months ago,0,0,True, Kolkata,20/02/2022 02:03:42,3135da14-6700-587f-964a-80e7ac36ff1e
18,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Terrific,Excellent product. Must buy.,Gangaraju Marni,3 months ago,0,0,True, Nidadavole,20/02/2022 02:03:42,35287a62-4207-58f2-8729-31b0490fa873
19,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Good choice,Magic remote should have been part of purchased item. Otherwise i am very much satisfied in other aspects. Well built and good picture quality tv.,kesavan d,6 months ago,2,1,True, Bangalore,20/02/2022 02:03:42,24f1261a-13c5-5788-920a-40591104add6
20,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Fabulous!,"I am reviewing after a month of use.Initially I was hesitant to buy Motorola TV. However after a good research I have finalised my purchase.Picture quality is awesome.Sound quality is great.Delivery and installation service is awesome too.Since I am based out of Bangalore there was no delay in delivery.Connectivity is also seamless. It connects with Bluetooth without any issues. WiFI connectivity is good too.Only con (although I am nit picking), in built memory is less. After you start...",Samrat Chattopadhyay,30 days ago,1,0,True, Bengaluru,20/02/2022 02:03:42,3c89891e-5183-5756-a710-0a1c72ebeb88
21,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Worth the money,Good product…and good quality,SUHAIL SAMAD,6 months ago,0,0,True,ertified Buyer,20/02/2022 02:03:42,7a103a69-4957-5b2f-9fc3-9af57e969361
22,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Worth every penny,"Good tv, go for it.",Rohit Malav,3 months ago,0,0,True, Udaipur,20/02/2022 02:03:42,73306d7a-25e6-55fb-8acf-2e58b99150ad
23,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Worth the money,I've been using it for almost a week here is my review of motorola revou qled 50 inch tv. The build of this Tv is very good  it comes with metal stands which looks stylish and premium. the thin bezel design gives the tv futuristic looks The panel is VA dled  with quantum filters which gives very beautiful picture quality it has enough briteness to view HDR contents  the 60w speakers are awesome  produce  good sound output  However the storage is very less around 7.3 gb of free space and the n...,Aravind ArborN,3 months ago,26,9,True, Kottayam District,20/02/2022 02:03:42,9362f6ff-b61d-5248-9eae-ad6a4c2532a1
